标题／微博内容,信息属性,原创/转发,发布日期,原微博内容,认证类型,地域,城市,性别,全文内容,粉丝数,微博数,转,评,赞,话题,微博情绪,精准地域,中图地址,MD5-作者ID,MD5-mid,MD5-根微博mid,MD5-根微博用户UID,MD5-父微博ID,MD5-父微博用户ID,,bot
?Champion #湖人总冠军# http://t.cn/EhGn2gw ??长沙,非敏感,原创,10/12/2020 10:35, ,普通,江西, ,男,?Champion #湖人总冠军# http://t.cn/EhGn2gw ??长沙,1235,126,0,0,1,湖人总冠军,喜悦,"湖南省,湖南,长沙市,长沙", ,c85eef250ae99ba64ae689c47e4dada3,f82e564f481d4c863b13f85e696ac0fd,,,,,,0
可以看到舞台了#蔡徐坤# ,非敏感,转发,9/3/2020 10:24,@乘风破浪的姐姐 原创音乐制作人、公演舞台《情人》原唱惊喜亮相[打call]@蔡徐坤 一起乘风破浪吗？成团夜见证官的那种！#乘风破浪的姐姐#成团之夜http://t.cn/A64toeah 20:00湖南娱乐频道&芒果TV现场同步直播！ ??,普通,广西, ,女,可以看到舞台了#蔡徐坤# 【原微博】 @乘风破浪的姐姐 原创音乐制作人、公演舞台《情人》原唱惊喜亮相[打call]@蔡徐坤 一起乘风破浪吗？成团夜见证官的那种！#乘风破浪的姐姐#成团之夜http://t.cn/A64toeah 20:00湖南娱乐频道&芒果TV现场同步直播！ ??,267,17158,0,0,0,乘风破浪的姐姐;蔡徐坤,中性,其他,"[http://wx4.sinaimg.cn/bmiddle/0084DzVMgy1gid8eqbrelj31yb3h01l3.jpg""]""",c84be95a7bb016d5bf2c16261b465e13,9aa32325a05c783a8d2a8a2541450c11,7c29a95041e9d61ac1676658182f7a13,c06e30c61372f6e8abf72369e3ade9ce,7c29a95041e9d61ac1676658182f7a13,c06e30c61372f6e8abf72369e3ade9ce,,1
#蔡徐坤# [赞]//@蔡徐坤数据站:转数不够，见转x3??//@蔡徐坤数据站:#蔡徐坤新歌情人# ｜#蔡徐坤情人舞台# 和原创音乐人@蔡徐坤 一起乘风破浪～??♀??，期待姐姐们成团夜的精彩表演[羞嗒嗒] ,非敏感,转发,9/3/2020 11:00,@乘风破浪的姐姐 原创音乐制作人、公演舞台《情人》原唱惊喜亮相[打call]@蔡徐坤 一起乘风破浪吗？成团夜见证官的那种！#乘风破浪的姐姐#成团之夜http://t.cn/A64toeah 20:00湖南娱乐频道&芒果TV现场同步直播！ ??,普通,广西, ,女,#蔡徐坤# [赞]//@蔡徐坤数据站:转数不够，见转x3??//@蔡徐坤数据站:#蔡徐坤新歌情人# ｜#蔡徐坤情人舞台# 和原创音乐人@蔡徐坤 一起乘风破浪～??♀??，期待姐姐们成团夜的精彩表演[羞嗒嗒] 【原微博】 @乘风破浪的姐姐 原创音乐制作人、公演舞台《情人》原唱惊喜亮相[打call]@蔡徐坤 一起乘风破浪吗？成团夜见证官的那种！#乘风破浪的姐姐#成团之夜http://t.cn/A64toeah 20:00湖南娱乐频道&芒果TV现场同步直播！ ??,267,17158,0,0,0,乘风破浪的姐姐;蔡徐坤;蔡徐坤情人舞台;蔡徐坤新歌情人,喜悦,其他,"[http://wx4.sinaimg.cn/bmiddle/0084DzVMgy1gid8eqbrelj31yb3h01l3.jpg""]""",c84be95a7bb016d5bf2c16261b465e13,776f2dcf1d86ff51f0563af960da59ee,7c29a95041e9d61ac1676658182f7a13,c06e30c61372f6e8abf72369e3ade9ce,a838e8642e9097f37d438f786730848b,4802f7eb823d8aa07a1888ffd0b14622,,1
#蔡徐坤# [耶][耶][耶]//@蔡徐坤工作室:《情人》乘风破浪，成团尽情飞扬。原创音乐制作人@蔡徐坤 首任#乘风破浪的姐姐#“成团夜见证官”，一起乘风破浪吧[憧憬]http://t.cn/A64tKrrm  20:00成团之夜湖南娱乐频道&芒果TV现场同步直播！ ,非敏感,转发,9/3/2020 11:02,@乘风破浪的姐姐 原创音乐制作人、公演舞台《情人》原唱惊喜亮相[打call]@蔡徐坤 一起乘风破浪吗？成团夜见证官的那种！#乘风破浪的姐姐#成团之夜http://t.cn/A64toeah 20:00湖南娱乐频道&芒果TV现场同步直播！ ??,普通,广西, ,女,#蔡徐坤# [耶][耶][耶]//@蔡徐坤工作室:《情人》乘风破浪，成团尽情飞扬。原创音乐制作人@蔡徐坤 首任#乘风破浪的姐姐#“成团夜见证官”，一起乘风破浪吧[憧憬]http://t.cn/A64tKrrm  20:00成团之夜湖南娱乐频道&芒果TV现场同步直播！ 【原微博】 @乘风破浪的姐姐 原创音乐制作人、公演舞台《情人》原唱惊喜亮相[打call]@蔡徐坤 一起乘风破浪吗？成团夜见证官的那种！#乘风破浪的姐姐#成团之夜http://t.cn/A64toeah 20:00湖南娱乐频道&芒果TV现场同步直播！ ??,267,17158,0,0,0,乘风破浪的姐姐;蔡徐坤,喜悦,"湖南省,湖南","[http://wx4.sinaimg.cn/bmiddle/0084DzVMgy1gid8eqbrelj31yb3h01l3.jpg""]""",c84be95a7bb016d5bf2c16261b465e13,0b2e731a44b1201a807e1f68017480c5,7c29a95041e9d61ac1676658182f7a13,c06e30c61372f6e8abf72369e3ade9ce,b40b36a703ff4b9dc73b54a4716d66e3,18ec0d1d99bee577fe4dd16f19b032ae,,1
我参与了@微博综艺 发起的投票【你最期待谁的表现呢？】，我投给了“蔡徐坤”这个选项，你也快来表态吧~ ,非敏感,转发,9/3/2020 11:51,@微博综艺 #姐姐成团之夜嘉宾阵容##乘风破浪的姐姐成团之夜# 官宣嘉宾阵容，助力姐姐成团！ http://t.cn/A64tlJL4 ??,普通,广西, ,女,我参与了@微博综艺 发起的投票【你最期待谁的表现呢？】，我投给了“蔡徐坤”这个选项，你也快来表态吧~ 【原微博】 @微博综艺 #姐姐成团之夜嘉宾阵容##乘风破浪的姐姐成团之夜# 官宣嘉宾阵容，助力姐姐成团！ http://t.cn/A64tlJL4 ??,267,17158,0,0,0,乘风破浪的姐姐成团之夜;姐姐成团之夜嘉宾阵容,喜悦,其他, ,c84be95a7bb016d5bf2c16261b465e13,d121ffeeab7f3e346b7f9cdc9cf78d3b,56e26c16a3a04cb12e6a0a6eba575977,381173ebfdb7b431b1600c4c1c95ddca,56e26c16a3a04cb12e6a0a6eba575977,381173ebfdb7b431b1600c4c1c95ddca,,1
#蔡徐坤# [给力] ,非敏感,转发,9/3/2020 14:57,@瑞丽网 #rayli星闻# 【#蔡徐坤参加姐姐成团之夜# 】#蔡徐坤[超话]#官宣加盟#乘风破浪的姐姐# 成团之夜！用精彩舞台点燃现场，见证姐姐成团，为梦想喝彩。作为成团见证官的@蔡徐坤 ???会给我们带来什么惊喜呢？9月4日不见不散！[酷] ??,普通,广西, ,女,#蔡徐坤# [给力] 【原微博】 @瑞丽网 #rayli星闻# 【#蔡徐坤参加姐姐成团之夜# 】#蔡徐坤[超话]#官宣加盟#乘风破浪的姐姐# 成团之夜！用精彩舞台点燃现场，见证姐姐成团，为梦想喝彩。作为成团见证官的@蔡徐坤 ???会给我们带来什么惊喜呢？9月4日不见不散！[酷] ??,267,17158,0,0,0,蔡徐坤[超话];RAYLI星闻;乘风破浪的姐姐;蔡徐坤;蔡徐坤参加姐姐成团之夜,喜悦,其他,"[http://wx3.sinaimg.cn/bmiddle/001NBFyXly1gidgfk5k4jj60u01g4qqi02.jpg""]""",c84be95a7bb016d5bf2c16261b465e13,c4dcb8d00abc7531636c66ddee2270ab,a0512fa9f960d8c2e06514db0c8b6ff8,a968e2e97c9f9cdc0ea594c70e074520,a0512fa9f960d8c2e06514db0c8b6ff8,a968e2e97c9f9cdc0ea594c70e074520,,1
我想爆粗口#蔡徐坤# ,敏感,转发,9/4/2020 20:33,@星闻揭秘 #姐姐成团夜蔡徐坤情人舞台#  蔡徐坤再唱情人，舞台好撩《情人》原唱来了！be your lover[给你小心心]@蔡徐坤 #乘风破浪的姐姐成团之夜节目单# #星闻揭秘[超话]# http://t.cn/A64ffR4A ??,普通,广西, ,女,我想爆粗口#蔡徐坤# 【原微博】 @星闻揭秘 #姐姐成团夜蔡徐坤情人舞台#  蔡徐坤再唱情人，舞台好撩《情人》原唱来了！be your lover[给你小心心]@蔡徐坤 #乘风破浪的姐姐成团之夜节目单# #星闻揭秘[超话]# http://t.cn/A64ffR4A ??,267,17158,0,0,0,姐姐成团夜蔡徐坤情人舞台;蔡徐坤;乘风破浪的姐姐成团之夜节目单;星闻揭秘[超话],悲伤,其他, ,c84be95a7bb016d5bf2c16261b465e13,8a1fb1e22e580ecde32be2f289752b6f,78b1d93ac7b501c664e3babbf2ccc688,76bff4a214153e162c98d7ff7d7f9e06,78b1d93ac7b501c664e3babbf2ccc688,76bff4a214153e162c98d7ff7d7f9e06,,1
太诱惑了#蔡徐坤# ,非敏感,转发,9/4/2020 20:53,@沸点娱乐 蔡徐坤《情人》，乘风破浪的姐姐原创制作人蔡徐坤，蔡徐坤双人舞，这舞台太迷人了[抓狂][抓狂]#想魂穿蔡徐坤的伴舞# @蔡徐坤#乘风破浪的姐姐成团之夜节目单#   http://t.cn/A64ffrgY ??,普通,广西, ,女,太诱惑了#蔡徐坤# 【原微博】 @沸点娱乐 蔡徐坤《情人》，乘风破浪的姐姐原创制作人蔡徐坤，蔡徐坤双人舞，这舞台太迷人了[抓狂][抓狂]#想魂穿蔡徐坤的伴舞# @蔡徐坤#乘风破浪的姐姐成团之夜节目单#   http://t.cn/A64ffrgY ??,267,17158,0,0,0,蔡徐坤;乘风破浪的姐姐成团之夜节目单;想魂穿蔡徐坤的伴舞,中性,其他, ,c84be95a7bb016d5bf2c16261b465e13,ad72576d2f131eff5077fea51d4e9503,63e12e6c09a69ca410e14e0f0785197d,4c43306dcb1813fea2a5f0f0c50f6a20,63e12e6c09a69ca410e14e0f0785197d,4c43306dcb1813fea2a5f0f0c50f6a20,,1
被狙击了#想魂穿蔡徐坤的伴舞# ,非敏感,转发,9/4/2020 20:57,@成都商报 【#乘风破浪的姐姐成团之夜#】今晚是#乘风破浪的姐姐#成团之夜，听过了姐姐们的《情人》，再来听听原唱@蔡徐坤 不一样的风格，不一样的感受，光影之间，夜色撩人，#想魂穿蔡徐坤的伴舞# ，每一句都唱到心里，让人“小鹿乱撞”~  #蔡徐坤[超话]#  http://t.cn/A64fIxN4 ??,普通,广西, ,女,被狙击了#想魂穿蔡徐坤的伴舞# 【原微博】 @成都商报 【#乘风破浪的姐姐成团之夜#】今晚是#乘风破浪的姐姐#成团之夜，听过了姐姐们的《情人》，再来听听原唱@蔡徐坤 不一样的风格，不一样的感受，光影之间，夜色撩人，#想魂穿蔡徐坤的伴舞# ，每一句都唱到心里，让人“小鹿乱撞”~  #蔡徐坤[超话]#  http://t.cn/A64fIxN4 ??,267,17158,0,0,0,蔡徐坤[超话];乘风破浪的姐姐;想魂穿蔡徐坤的伴舞;乘风破浪的姐姐成团之夜,悲伤,其他, ,c84be95a7bb016d5bf2c16261b465e13,b5ee9890ccf4ecd4412645aac26fb42a,1a2b27da3d47fdc4489464a18fa656dc,5d2b99b78eb3f79170801aaf0c274ce3,1a2b27da3d47fdc4489464a18fa656dc,5d2b99b78eb3f79170801aaf0c274ce3,,1
转发微博 ,非敏感,转发,10/12/2020 11:49,@酸梅酱大人 #湖人总冠军# 王建国，这盛世如你所愿！ ??,普通,山东,济宁,女,转发微博 【原微博】 @酸梅酱大人 #湖人总冠军# 王建国，这盛世如你所愿！ ??,0,11,0,0,0,湖人总冠军,喜悦,其他,"[http://wx2.sinaimg.cn/bmiddle/7fc32d45gy1gjme57p79jj20m812e0zq.jpg""]""",c7f27b0b6f52d4b9bed80d08bb13bd13,1db294e65e866201d1affac893dfeac7,ed0c80529b298a9425307738c5fb7e2e,5f200dc4a97f41a9c7b0ae2c9bc7f98f,ed0c80529b298a9425307738c5fb7e2e,5f200dc4a97f41a9c7b0ae2c9bc7f98f,,0
转发微博 ,非敏感,转发,10/16/2020 8:53,@天下篮球快报 詹姆斯在三支不同的球队获得了总冠军，12-13年的热火，16年的骑士和20年的湖人。你觉得哪支球队是最强的？[打call][打call][打call]#詹姆斯##NBA##NBA吐槽大会# http://t.cn/A6bNaJCL ??,普通,内蒙古, ,男,转发微博 【原微博】 @天下篮球快报 詹姆斯在三支不同的球队获得了总冠军，12-13年的热火，16年的骑士和20年的湖人。你觉得哪支球队是最强的？[打call][打call][打call]#詹姆斯##NBA##NBA吐槽大会# http://t.cn/A6bNaJCL ??,30,74,0,0,0,詹姆斯;NBA吐槽大会;NBA,愤怒,其他, ,c7868d296da45885a789bf8b6cfd2d0d,50a7a2f581f29e68268672ad6ed17771,5abbd1b876f57b1480598406476e701d,d1daa38f40bd69a79b9338ec232f2e7b,5abbd1b876f57b1480598406476e701d,d1daa38f40bd69a79b9338ec232f2e7b,,0
[抓狂][抓狂]《王俊凯-再见》//#王俊凯[超话]#  #王俊凯电影749局#  从开始到未来，只为王俊凯。 #我的-TFBOYS-王俊凯[音乐]#   #醒着-TFBOYS-王俊凯[音乐]# @TFBOYS-王俊凯 ,非敏感,转发,9/6/2020 16:29,@英雄联盟 #英雄联盟代言人# 【王俊凯试玩至臻EZ solo锅老师】大龙坑内，EZ对决，Q来Q去[doge]谁的走位风骚，谁能百Q百中[二哈]来看看@TFBOYS-王俊凯 与@mlxgzzz 的龙坑对决[打call]#王俊凯至臻EZ单杀MLXG# #英雄联盟灵能特工皮肤# #英雄联盟9周年# http://t.cn/A64VNSnf ??,普通,浙江,杭州,女,[抓狂][抓狂]《王俊凯-再见》//#王俊凯[超话]#  #王俊凯电影749局#  从开始到未来，只为王俊凯。 #我的-TFBOYS-王俊凯[音乐]#   #醒着-TFBOYS-王俊凯[音乐]# @TFBOYS-王俊凯 【原微博】 @英雄联盟 #英雄联盟代言人# 【王俊凯试玩至臻EZ solo锅老师】大龙坑内，EZ对决，Q来Q去[doge]谁的走位风骚，谁能百Q百中[二哈]来看看@TFBOYS-王俊凯 与@mlxgzzz 的龙坑对决[打call]#王俊凯至臻EZ单杀MLXG# #英雄联盟灵能特工皮肤# #英雄联盟9周年# http://t.cn/A64VNSnf ??,0,797,0,0,0,我的-TFBOYS-王俊凯[音乐];醒着-TFBOYS-王俊凯[音乐];英雄联盟代言人;王俊凯至臻EZ单杀MLXG;王俊凯电影749局;王俊凯[超话];英雄联盟9周年;英雄联盟灵能特工皮肤,恐惧,其他, ,c7830cd314c8ba1390723380cfe30bd5,30b725426524d4ed5ae1ebeb1d65621c,24b45e4221fc974108382db747de8114,3e02f8e60e16b3c7cd3132a4266c2fe3,5ec92d39bbc2aa67081514f2ea2c77cf,92b1bf9a7e1096c42e11e50bec75eea4,,0
期待@李宇春 #李宇春乘风破浪的姐姐x大使# ,非敏感,转发,9/4/2020 19:10,@微博综艺 #李宇春乘风破浪的姐姐X大使##李宇春姐姐团无价之姐彩排互动# 《乘风破浪的姐姐》成团之夜今晚即将来袭，李宇春姐姐团彩排互动上线，你期待吗？ ??,普通,江苏,泰州,男,期待@李宇春 #李宇春乘风破浪的姐姐x大使# 【原微博】 @微博综艺 #李宇春乘风破浪的姐姐X大使##李宇春姐姐团无价之姐彩排互动# 《乘风破浪的姐姐》成团之夜今晚即将来袭，李宇春姐姐团彩排互动上线，你期待吗？ ??,2623,2073,1,0,0,李宇春乘风破浪的姐姐X大使;李宇春姐姐团无价之姐彩排互动,喜悦,其他,"[http://wx4.sinaimg.cn/bmiddle/002iQiZugy1giem1wms2ej60u01hc7wh02.jpg""&&&&""http://wx1.sinaimg.cn/bmiddle/002iQiZugy1giem1vqns8j61hc0u07wh02.jpg""&&&&""http://wx4.sinaimg.cn/bmiddle/002iQiZugy1giem440s9nj64g02yob2c02.jpg""&&&&""http://wx3.sinaimg.cn/bmiddle/002iQiZugy1giem46772ij642s2pvhdv02.jpg""&&&&""http://wx3.sinaimg.cn/bmiddle/002iQiZugy1giem48dfmpj61y02x0b2b02.jpg""&&&&""http://wx4.sinaimg.cn/bmiddle/002iQiZugy1giem4a9jsxj61u52r7kjn02.jpg""&&&&""http://wx3.sinaimg.cn/bmiddle/002iQiZugy1giem4cf74zj63kf2dmu0z02.jpg""&&&&""http://wx4.sinaimg.cn/bmiddle/002iQiZugy1giem4eyo9bj632s2am4qs02.jpg""&&&&""http://wx3.sinaimg.cn/bmiddle/002iQiZugy1giem4hztlpj63ir2monph02.jpg""]""",c726ad86b7c32c1bd81a204096dc1346,0517aad59952f59d7fc6bc96f8cb7191,8393319a57cd50328ea6d3ca6d96d2c5,381173ebfdb7b431b1600c4c1c95ddca,8393319a57cd50328ea6d3ca6d96d2c5,381173ebfdb7b431b1600c4c1c95ddca,,0
摇头晃脑的春春子！！//@琴心://@Tubereuse___:呀是彩排独家吗！#李宇春无价之姐舞台首秀# #全民之姐# #李宇春乘风破浪的姐姐# ,非敏感,转发,9/4/2020 20:42,@微博综艺 #李宇春姐姐们开场走秀好像维密# #李宇春无价之姐终极大秀# 李宇春姐姐团无价之姐开场成团之夜的舞台上，李宇春和三十位姐姐带来《无价之姐》舞台。#李宇春姐姐团无价之姐开场秀#http://t.cn/A64ffMHT ??,普通,江苏,泰州,男,摇头晃脑的春春子！！//@琴心://@Tubereuse___:呀是彩排独家吗！#李宇春无价之姐舞台首秀# #全民之姐# #李宇春乘风破浪的姐姐# 【原微博】 @微博综艺 #李宇春姐姐们开场走秀好像维密# #李宇春无价之姐终极大秀# 李宇春姐姐团无价之姐开场成团之夜的舞台上，李宇春和三十位姐姐带来《无价之姐》舞台。#李宇春姐姐团无价之姐开场秀#http://t.cn/A64ffMHT ??,2623,2073,0,0,0,李宇春无价之姐舞台首秀;李宇春姐姐团无价之姐开场秀;李宇春乘风破浪的姐姐;李宇春姐姐们开场走秀好像维密;李宇春无价之姐终极大秀;全民之姐,喜悦,其他, ,c726ad86b7c32c1bd81a204096dc1346,7dbaef21fb1125e4f88a8d5010f3740b,0811c18256e4d978d7eae09f248690bb,381173ebfdb7b431b1600c4c1c95ddca,c5bb7a0e1badfcacc54b0f50c531fc43,d1ec3f1fdd56e3580debe968fdca5212,,0
转发微博 ,非敏感,转发,9/4/2020 23:19,@吃瓜大当家 乘风破浪的姐姐成团之夜名单！宁静、万茜、孟佳、黄龄、郁可唯、张雨绮、李斯丹妮！ ???恭喜各位姐姐们[好喜歡] ??,普通,贵州,毕节,女,转发微博 【原微博】 @吃瓜大当家 乘风破浪的姐姐成团之夜名单！宁静、万茜、孟佳、黄龄、郁可唯、张雨绮、李斯丹妮！ ???恭喜各位姐姐们[好喜歡] ??,1,1122,0,0,0, ,中性,其他,"[http://wx3.sinaimg.cn/bmiddle/60d668efly1gif0pargipj20u015z7wh.jpg""&&&&""http://wx4.sinaimg.cn/bmiddle/60d668efly1gif0pcn6mgj20to17re81.jpg""&&&&""http://wx2.sinaimg.cn/bmiddle/60d668efly1gif0pdird7j20j40smws0.jpg""&&&&""http://wx3.sinaimg.cn/bmiddle/60d668efly1gif0p9tpcyj20j60smto5.jpg""&&&&""http://wx2.sinaimg.cn/bmiddle/60d668efly1gif0pean8qj20gb0sz4dy.jpg""&&&&""http://wx1.sinaimg.cn/bmiddle/60d668efly1gif0pertwhj20j60smqhg.jpg""&&&&""http://wx3.sinaimg.cn/bmiddle/60d668efly1gif0pfchzmj20j60s74da.jpg""]""",c6d975567c10fc68c470297f41871e86,14709f7bf2ef6ef6c371a26d78271b78,bb5234f92e104cffd7b437a0507606bb,c4159bf27bd1d11868ab01ae4fb76386,bb5234f92e104cffd7b437a0507606bb,c4159bf27bd1d11868ab01ae4fb76386,,0
very快乐 ,非敏感,转发,9/3/2020 10:24,@乘风破浪的姐姐 原创音乐制作人、公演舞台《情人》原唱惊喜亮相[打call]@蔡徐坤 一起乘风破浪吗？成团夜见证官的那种！#乘风破浪的姐姐#成团之夜http://t.cn/A64toeah 20:00湖南娱乐频道&芒果TV现场同步直播！ ??,普通,重庆, ,女,very快乐 【原微博】 @乘风破浪的姐姐 原创音乐制作人、公演舞台《情人》原唱惊喜亮相[打call]@蔡徐坤 一起乘风破浪吗？成团夜见证官的那种！#乘风破浪的姐姐#成团之夜http://t.cn/A64toeah 20:00湖南娱乐频道&芒果TV现场同步直播！ ??,209,1981,0,0,0,乘风破浪的姐姐,中性,其他,"[http://wx4.sinaimg.cn/bmiddle/0084DzVMgy1gid8eqbrelj31yb3h01l3.jpg""]""",c6839a0fd03337d047850ecf5364655e,95f5ddd03e534b5f8314dbd836ebac49,7c29a95041e9d61ac1676658182f7a13,c06e30c61372f6e8abf72369e3ade9ce,7c29a95041e9d61ac1676658182f7a13,c06e30c61372f6e8abf72369e3ade9ce,,0
李斯丹妮我爱你!!!你太会扭了 ,非敏感,转发,9/4/2020 21:58,@星闻揭秘 #乘风破浪的姐姐成团之夜# 张雨绮、李斯丹妮《粉红色的回忆》，初舞台#张雨绮李斯丹妮合唱粉红色的回忆# #星闻揭秘[超话]# http://t.cn/A64faXnc ??,普通,重庆, ,女,李斯丹妮我爱你!!!你太会扭了 【原微博】 @星闻揭秘 #乘风破浪的姐姐成团之夜# 张雨绮、李斯丹妮《粉红色的回忆》，初舞台#张雨绮李斯丹妮合唱粉红色的回忆# #星闻揭秘[超话]# http://t.cn/A64faXnc ??,209,1981,0,0,0,张雨绮李斯丹妮合唱粉红色的回忆;星闻揭秘[超话];乘风破浪的姐姐成团之夜,喜悦,其他, ,c6839a0fd03337d047850ecf5364655e,270c3ec2019cffb301c24ebc78273ab6,d28541048beed2c5221278407b131ffd,76bff4a214153e162c98d7ff7d7f9e06,d28541048beed2c5221278407b131ffd,76bff4a214153e162c98d7ff7d7f9e06,,0
我时常恍惚忘记王建国也有好笑的时候(一两场) ,非敏感,转发,9/26/2020 0:06,@推拿熊 王建国真的不好笑，他真的讲的是脱口秀吗？除了谐音梗就是俏皮话，每次五分钟的表演连个结构都没有，非常散，一个段子连一个段子，每个段子都不好笑，塑造的就是一股气氛，然后塑造一个电波怒汉或者丧气中年东北男子或者天真动漫宅男的形象。有网友说觉得这样的王建国非常真实，因为他就是一个且战且逃的形象，我对这个话题有着更苛刻的见解！就是我觉得既然不享受舞台那就不要表演了，不要一副不情不愿但是感觉自己被脱口秀选中了所以才在这个舞台勉强表演的样子，真的受不了。不想演就不要演了，一副不想赢但是奖杯塞自己手里没办法的样,普通,江苏,南京,女,我时常恍惚忘记王建国也有好笑的时候(一两场) 【原微博】 @推拿熊 王建国真的不好笑，他真的讲的是脱口秀吗？除了谐音梗就是俏皮话，每次五分钟的表演连个结构都没有，非常散，一个段子连一个段子，每个段子都不好笑，塑造的就是一股气氛，然后塑造一个电波怒汉或者丧气中年东北男子或者天真动漫宅男的形象。有网友说觉得这样的王建国非常真实，因为他就是一个且战且逃的形象，我对这个话题有着更苛刻的见解！就是我觉得既然不享受舞台那就不要表演了，不要一副不情不愿但是感觉自己被脱口秀选中了所以才在这个舞台勉强表演的样子，真的受不了。不想演就不要演了，一副不想赢但是奖杯塞自己手里没办法的样子真的好烦，呼兰和杨笠就很真诚，就是想赢，想战斗，想晋级。大家是来比赛的，想赢想晋级不是应该的态度吗？不然就不要比了。还有就是炒cp这件事，雪琴就是坦然接受，估计就是因为她保持一种比较开放和期待的心情在试着接受去交往？但是王建国那期关于吐槽“但我没想到长大后我的静香竟然是雪琴？”，我真的看到生理不适，什么意思？不想炒cp可以不炒，杨笠就没有接Rock想炒的cp，也能晋级。没有必要一边试图迎合观众一边又别扭介意，好像雪琴颜值配不上他他勉为其难炒个cp好了。但是就这种拧巴的“半推半就”的中年鸡贼男心态，让我觉得好恶心，也许这就是王建国心中的“且战且逃”“男人至死是少年”吧？总之我真的不知道他好笑在哪里，完全不懂，这样也能拿三季亚军，我感觉张博洋比他好笑多了。张博洋吐槽杠精的肉蛋奶那个段子，吐槽原创维权，每句都吐在刀刃上，而且情绪非常自然。连Rock 都比他更有生活体验和真实表达。至于王勉，喜欢他的人是不是没看过《同一首歌》里tw歌手张帝即兴创作边弹边唱讲笑话？？？你妈的笑果文化为了签下来王勉就一定要让他拿冠军吗？强捧遭天谴啊我靠！如果卡姆在里面看到决赛录播，会不会气到拿勺子掏墙壁？我真的受不了了，就这个决赛，居然还有我心爱的罗永浩老师的脱口秀处女秀做开场，我罗老师才是真正的OG，讲的才是纯正的脱口秀。王建国王勉这俩讲的什么东西？杨笠李雪琴没拿冠亚军，我和罗老师一样失望,175,3525,0,0,0, ,中性,其他, ,c676ca0938049eaaa9019e9c786afa1b,f54ef99f08e7a5780c2374eb1dfcf8f3,60547e5c90e5c15aec7d7bf63a286041,f1753799d9cb4bbc36065459ccd3eb41,60547e5c90e5c15aec7d7bf63a286041,f1753799d9cb4bbc36065459ccd3eb41,,0
期待蔡徐坤 ,非敏感,转发,9/3/2020 11:08,@乘风破浪的姐姐 原创音乐制作人、公演舞台《情人》原唱惊喜亮相[打call]@蔡徐坤 一起乘风破浪吗？成团夜见证官的那种！#乘风破浪的姐姐#成团之夜http://t.cn/A64toeah 20:00湖南娱乐频道&芒果TV现场同步直播！ ??,普通,黑龙江, ,女,期待蔡徐坤 【原微博】 @乘风破浪的姐姐 原创音乐制作人、公演舞台《情人》原唱惊喜亮相[打call]@蔡徐坤 一起乘风破浪吗？成团夜见证官的那种！#乘风破浪的姐姐#成团之夜http://t.cn/A64toeah 20:00湖南娱乐频道&芒果TV现场同步直播！ ??,38,1386,0,0,0,乘风破浪的姐姐,中性,其他,"[http://wx4.sinaimg.cn/bmiddle/0084DzVMgy1gid8eqbrelj31yb3h01l3.jpg""]""",c655afedf94e037e79a511a345861e82,50bebb0d10e4f771bab5bcab5cb1d28c,7c29a95041e9d61ac1676658182f7a13,c06e30c61372f6e8abf72369e3ade9ce,7c29a95041e9d61ac1676658182f7a13,c06e30c61372f6e8abf72369e3ade9ce,,0
转发微博 ,非敏感,转发,9/5/2020 13:36,@娱顽童 #蔡徐坤[超话]# ??#乘风破浪的姐姐成团之夜# ??#想魂穿蔡徐坤的伴舞# 破手机带来的《情人》FO@蔡徐坤 http://t.cn/A64f6Llo ? ??,普通,广东,深圳,男,转发微博 【原微博】 @娱顽童 #蔡徐坤[超话]# ??#乘风破浪的姐姐成团之夜# ??#想魂穿蔡徐坤的伴舞# 破手机带来的《情人》FO@蔡徐坤 http://t.cn/A64f6Llo ? ??,0,0,0,0,0,蔡徐坤[超话];乘风破浪的姐姐成团之夜;想魂穿蔡徐坤的伴舞,喜悦,其他, ,c62ed26b7bed453082fc95d7b5372b52,bdcd2725c15543a89e9f5a6011236fb9,bed3df38ed3cc9b7d8383ca43cb4e90f,7d73f62feb055402ccd64b83d37adcc6,bed3df38ed3cc9b7d8383ca43cb4e90f,7d73f62feb055402ccd64b83d37adcc6,,0
